x,a,b,c,result
33,26,27,73,53
39,78,16,7,94
26,18,91,88,18
58,86,26,35,147
42,39,98,19,156
39,50,84,46,134
27,65,29,80,65
41,64,61,54,179
44,81,66,57,204
43,29,20,24,73
55,83,23,59,165
55,67,30,23,120
58,79,91,74,244
33,42,68,29,110
22,83,52,29,83
45,32,22,44,98
54,96,25,11,132
49,15,57,98,170
20,24,83,37,24
59,15,86,83,184
52,12,46,79,137
43,14,34,30,78
40,9,15,53,77
43,34,87,12,133
30,91,52,32,143
27,32,46,28,32
20,89,55,34,89
48,75,40,45,160
26,19,13,9,19
47,66,74,54,194
20,80,2,86,80
28,99,96,59,99
21,40,12,58,40
57,28,67,69,164
45,73,95,69,237
57,69,45,53,167
51,33,56,19,108
55,50,88,54,192
43,45,64,80,189
20,40,3,70,40
53,48,49,21,118
32,41,65,97,106
38,68,84,90,152
52,35,100,97,232
21,72,77,1,72
31,15,83,12,98
29,17,87,63,17
38,81,86,62,167
27,54,83,54,54
25,69,28,6,69
31,67,79,29,146
43,2,4,44,50
31,25,74,23,99
55,35,61,100,196
33,30,63,96,93
40,17,97,3,117
28,47,99,98,47
60,91,87,88,266
20,10,2,96,10
33,7,34,34,41
54,22,22,31,75
44,34,41,66,141
28,13,2,33,13
31,40,4,38,44
32,41,1,45,42
35,79,35,16,114
41,51,89,25,165
47,17,55,8,80
31,19,38,93,57
46,63,68,16,147
31,20,30,48,50
49,22,78,52,152
58,42,64,47,153
40,42,83,85,210
46,82,9,51,142
20,40,86,1,40
57,59,20,20,99
45,15,75,30,120
22,8,36,89,8
23,30,15,54,30
41,94,23,14,131
20,11,89,45,11
42,95,58,70,223
30,88,100,27,188
30,63,46,5,109
55,98,96,50,244
29,71,39,3,71
38,37,37,79,74
59,52,51,41,144
38,36,62,13,98
32,54,94,70,148
51,77,4,86,167
26,74,61,3,74
52,65,75,5,145
24,5,63,21,5
55,14,89,82,185
55,14,13,9,36
55,63,71,80,214
27,93,43,36,93
54,93,6,39,138
38,68,6,19,74
44,14,85,95,194
30,34,88,53,122
60,72,54,70,196
55,57,41,64,162
46,34,70,4,108
60,61,19,100,180
28,9,75,41,9
31,74,16,87,90
30,54,40,39,94
36,47,2,95,49
60,94,36,78,208
54,23,64,91,178
52,23,51,53,127
43,54,58,1,113
44,18,91,40,149
21,80,81,95,80
46,36,13,40,89
25,85,98,79,85
36,54,69,4,123
29,65,37,53,65
28,28,75,35,28
30,73,83,12,156
46,70,5,81,156
56,33,5,63,101
47,31,53,87,171
32,18,17,54,35
48,70,73,55,198
34,74,53,30,127
42,11,87,88,186
29,55,62,31,55
37,3,30,11,33
25,62,33,5,62
46,42,66,76,184
48,63,78,89,230
46,1,33,7,41
58,4,27,16,47
56,3,84,35,122
45,20,25,54,99
43,14,78,66,158
59,41,59,34,134
29,87,5,47,87
35,23,66,8,89
51,38,63,82,183
51,48,49,1,98
54,70,19,83,172
20,61,95,39,61
31,50,25,7,75
29,55,30,7,55
58,40,41,39,120
33,10,18,75,28
28,22,98,16,22
30,87,29,75,116
57,71,52,57,180
29,58,57,17,58
39,58,61,1,119
35,74,93,88,167
27,60,78,79,60
27,63,8,23,63
55,77,56,47,180
20,38,5,100,38
57,26,6,37,69
39,77,83,36,160
59,69,89,5,163
47,12,33,83,128
33,77,51,66,128
37,53,30,12,83
50,72,99,2,173
46,21,12,9,42
36,16,37,36,53
32,18,56,56,74
27,36,47,11,36
47,72,85,1,158
54,72,41,8,121
43,84,57,45,186
43,90,85,10,185
24,78,78,80,78
44,91,60,91,242
51,29,23,17,69
49,67,62,1,130
46,47,45,53,145
55,31,34,14,79
39,24,81,20,105
25,11,9,89,11
31,56,22,46,78
56,43,46,30,119
29,93,36,80,93
48,89,41,90,220
26,47,82,50,47
59,84,30,66,180
47,69,89,55,213
21,12,11,2,12
48,74,64,36,174
59,37,7,53,97
42,61,33,92,186
38,55,1,24,56
44,33,97,77,207
30,53,80,33,133
44,45,70,89,204
56,76,43,28,147
23,1,22,29,1
31,26,76,63,102
21,70,22,17,70
48,46,90,61,197
39,22,15,15,37
53,75,7,23,105
26,79,20,64,79
38,80,3,28,83
56,72,31,40,143
38,42,83,97,125
60,37,32,24,93
44,87,21,39,147
38,24,49,71,73
36,49,24,58,73
33,31,71,48,102
25,85,83,44,85
39,59,93,23,152
56,2,68,75,145
49,89,54,26,169
59,50,74,48,172
31,55,25,76,80
52,17,52,58,127
54,40,62,89,191
47,80,7,34,121
33,51,45,91,96
58,29,44,5,78
43,54,30,17,101
29,81,52,66,81
27,85,64,85,85
43,57,28,9,94
40,57,56,75,188
46,2,61,5,68
25,72,9,80,72
43,83,53,53,189
32,61,24,81,85
24,58,79,37,58
24,96,62,10,96
29,68,4,52,68
20,20,57,26,20
38,83,23,66,106
51,84,10,88,182
48,21,27,92,140
25,40,70,23,40
47,5,47,41,93
58,79,29,65,173
30,42,99,38,141
41,80,100,16,196
51,75,48,99,222
37,46,56,44,102
45,62,68,57,187
59,69,38,50,157
22,83,54,23,83
21,12,15,51,12
52,42,63,53,158
45,11,38,44,93
50,46,98,21,165
39,39,96,90,135
22,87,64,21,87
35,6,25,87,31
25,43,92,4,43
57,61,13,87,161
30,30,64,73,94
48,76,57,66,199
33,33,16,8,49
25,33,47,32,33
59,14,77,93,184
53,98,8,65,171
45,40,54,83,177
52,68,81,98,247
43,4,83,14,101
45,39,7,99,145
42,1,10,68,79
29,51,34,36,51
42,72,33,54,159
51,34,14,94,142
29,51,32,77,51
35,89,31,48,120
46,40,56,41,137
29,82,91,31,82
45,41,62,72,175
28,62,68,97,62
47,2,67,50,119
47,4,99,28,131
53,53,65,24,142
23,33,17,7,33
51,34,41,18,93
22,61,12,23,61
49,48,80,3,131
40,96,49,54,199
36,44,22,45,66
38,71,44,26,115
36,41,78,60,119
46,63,17,25,105
23,14,40,29,14
53,83,83,6,172
35,51,34,91,85
47,39,11,51,101
38,95,35,44,130
35,3,18,69,21
60,95,35,12,142
36,82,59,73,141
35,78,19,11,97
50,46,13,71,130
28,17,68,80,17
47,14,73,32,119
59,61,30,63,154
51,36,24,78,138
24,75,29,98,75
54,22,52,10,84
25,18,84,15,18
41,70,16,84,170
46,44,72,28,144
58,6,62,28,96
28,62,55,44,62
40,41,38,45,124
26,16,40,18,16
44,84,25,55,164
44,35,56,71,162
31,80,18,81,98
50,50,37,57,144
55,78,36,94,208
44,69,16,37,122
25,50,80,26,50
53,87,46,100,233
27,27,23,84,27
22,61,26,40,61
24,59,54,31,59
33,53,5,26,58
37,84,66,71,150
60,96,88,77,261
58,97,64,11,172
44,43,47,35,125
45,92,77,45,214
38,49,30,58,79
57,59,52,74,185
23,10,41,81,10
58,85,13,81,179
59,84,43,62,189
28,48,98,34,48
40,63,90,55,208
33,91,43,82,134
31,38,11,98,49
28,84,99,31,84
45,7,91,66,164
26,44,37,89,44
37,6,28,83,34
30,10,82,1,92
32,73,49,73,122
45,81,42,72,195
37,82,83,22,165
59,21,33,58,112
31,55,49,63,104
20,43,77,50,43
54,97,26,51,174
37,21,99,32,120
34,78,39,66,117
52,58,69,73,200
24,76,63,44,76
57,30,95,87,212
59,33,53,52,138
21,22,36,8,22
35,87,71,93,158
23,56,16,95,56
27,72,98,81,72
36,62,82,50,144
58,4,39,40,83
53,12,31,39,82
24,34,23,34,34
26,61,35,8,61
31,55,20,14,75
29,75,37,28,75
55,33,68,56,157
23,43,61,54,43
56,32,82,72,186
45,100,55,6,161
57,16,56,98,170
39,50,14,35,64
48,34,90,88,212
51,63,13,95,171
46,70,12,94,176
48,39,75,9,123
52,31,73,16,120
28,13,75,39,13
55,33,61,91,185
26,24,62,4,24
56,93,77,74,244
44,14,95,49,158
23,65,93,68,65
37,58,18,96,76
58,98,13,34,145
54,94,15,29,138
50,48,72,19,139
31,42,37,30,79
48,52,78,62,192
58,49,11,34,94
56,56,68,21,145
54,37,39,86,162
50,11,26,54,91
22,1,10,22,1
38,90,4,66,94
35,98,33,28,131
54,15,68,11,94
57,100,84,61,245
46,86,89,74,249
57,79,81,80,240
56,90,89,10,189
37,74,63,93,137
46,44,49,16,109
58,29,76,71,176
36,29,30,33,59
22,54,15,50,54
44,8,51,61,120
25,20,80,23,20
35,71,93,36,164
48,89,96,42,227
32,59,87,80,146
20,36,87,39,36
36,58,80,60,138
41,17,20,70,107
38,31,76,29,107
24,23,8,60,23
20,6,10,82,6
26,10,25,72,10
23,85,62,49,85
46,66,24,6,96
32,21,44,48,65
46,62,19,85,166
26,83,15,37,83
56,57,32,67,156
40,4,94,1,99
49,10,69,66,145
45,36,42,11,89
22,89,36,27,89
60,70,54,57,181
38,10,19,38,29
45,10,47,96,153
60,60,93,95,248
58,10,41,16,67
21,16,71,57,16
33,93,74,86,167
44,13,6,80,99
34,96,21,81,117
46,85,100,81,266
56,81,97,7,185
44,50,38,81,169
28,26,6,60,26
37,62,17,98,79
26,58,13,75,58
55,74,79,73,226
37,61,55,22,116
32,44,84,31,128
27,31,28,46,31
37,94,73,81,167
60,79,37,44,160
59,11,22,71,104
36,68,54,20,122
50,25,27,13,65
29,17,24,3,17
43,24,92,46,162
33,3,56,5,59
24,54,42,74,54
37,67,86,68,153
59,14,29,55,98
23,15,42,98,15
50,55,24,59,138
23,12,36,18,12
29,87,40,56,87
50,6,73,75,154
39,24,73,10,97
57,61,28,31,120
24,10,80,38,10
38,62,79,86,141
55,1,79,3,83
49,22,60,57,139
47,72,27,86,185
32,37,100,57,137
54,51,13,80,144
57,23,19,72,114
42,16,64,23,103
35,97,23,86,120
41,63,74,13,150
35,56,4,58,60
20,58,18,31,58
38,81,9,11,90
50,47,3,88,138
45,60,47,75,182
21,12,85,90,12
31,98,19,94,117
46,19,64,80,163
57,22,86,37,145
48,86,10,5,101
57,49,2,82,133
25,72,49,15,72
55,92,98,76,266
29,58,37,46,58
23,55,17,49,55
59,20,85,48,153
36,30,20,64,50
52,50,14,71,135
39,42,43,84,85
39,34,28,44,62
50,25,34,76,135
51,23,41,4,68
53,49,52,36,137
44,35,100,89,224
36,51,38,63,89
38,11,35,87,46
54,3,23,54,80
55,22,13,32,67
22,14,23,85,14
47,11,51,58,120
49,8,43,87,138
55,83,53,78,214
27,4,24,58,4
45,79,9,44,132
27,1,22,63,1
59,60,56,23,139
21,93,95,65,93
24,1,13,39,1
50,20,65,9,94
27,59,36,58,59
55,67,33,46,146
49,94,11,55,160
38,33,80,33,113
51,42,57,67,166
52,96,32,18,146
48,37,52,48,137
24,60,20,51,60
47,28,63,14,105
26,100,65,71,100
20,31,5,20,31
59,53,84,57,194
49,69,79,24,172
43,92,16,42,150
54,87,84,71,242
37,27,61,56,88
38,8,49,4,57
45,91,96,16,203
22,51,97,31,51
30,46,38,85,84
54,48,80,6,134
49,66,85,23,174
40,92,9,91,192
21,67,8,19,67
47,6,17,29,52
34,69,44,50,113
43,45,50,74,169
38,29,71,81,100
34,6,43,24,49
42,57,95,65,217
29,24,47,7,24
52,46,36,26,108
40,44,5,77,126
29,78,6,11,78
50,9,28,40,77
40,96,8,21,125
56,97,34,38,169
60,44,91,16,151
47,27,53,59,139
59,92,29,89,210
42,52,7,40,99
30,43,86,87,129
47,83,8,6,97
59,40,35,83,158
45,76,27,26,129
54,78,2,12,92
42,82,40,77,199
53,18,94,29,141
57,56,75,15,146
34,95,9,7,104
36,14,4,13,18
24,99,74,28,99
57,76,11,24,111
50,62,32,21,115
44,1,7,42,50
49,46,85,54,185
35,95,35,61,130
42,5,31,58,94
30,61,81,53,142
33,63,24,83,87
48,63,30,2,95
28,2,52,89,2
39,55,100,78,155
27,2,1,54,2
24,13,93,16,13
50,47,82,78,207
56,20,75,74,169
47,12,75,63,150
20,97,37,8,97
42,67,68,41,176
47,46,96,18,160
47,35,93,63,191
35,51,100,42,151
40,64,43,39,146
47,69,7,16,92
56,88,69,39,196
47,3,100,20,123
56,38,28,55,121
26,81,3,87,81
35,20,40,26,60
29,99,98,26,99
43,15,78,66,159
30,38,66,37,104
53,37,60,21,118
21,49,57,33,49
28,66,48,51,66
48,93,20,49,162
57,23,16,87,126
36,94,22,55,116
21,9,63,84,9
46,48,29,11,88
45,3,61,26,90
21,51,7,74,51
32,35,97,23,132
22,49,79,39,49
53,100,26,16,142
40,90,53,23,166
45,63,41,85,189
49,75,30,47,152
29,77,65,58,77
55,58,60,57,175
30,88,8,23,96
28,80,16,25,80
50,22,77,15,114
59,83,57,5,145
26,49,37,55,49
37,72,79,4,151
40,43,15,84,142
38,8,38,47,46
39,4,12,26,16
37,3,97,27,100
28,34,47,22,34
43,87,87,6,180
52,75,4,11,90
57,72,22,21,115
45,43,55,26,124
36,8,23,93,31
55,9,54,99,162
60,74,82,7,163
51,63,9,71,143
53,57,14,8,79
58,28,86,4,118
26,17,58,70,17
43,43,37,64,144
41,61,77,64,202
21,95,67,15,95
38,99,68,16,167
47,81,53,45,179
32,27,76,90,103
32,50,80,41,130
49,4,61,76,141
58,88,87,14,189
37,80,83,100,163
33,78,81,39,159
26,81,15,22,81
36,24,68,12,92
44,15,45,62,122
44,9,35,14,58
47,5,94,69,168
35,20,14,73,34
56,72,86,78,236
49,80,93,89,262
22,19,30,15,19
55,91,44,95,230
23,23,72,30,23
32,47,13,83,60
49,36,55,23,114
42,58,21,3,82
50,94,83,61,238
36,83,22,42,105
58,28,99,69,196
30,27,43,10,70
56,61,66,26,153
26,68,52,69,68
23,83,5,50,83
42,66,79,43,188
46,38,73,28,139
52,84,56,91,231
33,56,97,18,153
58,98,77,1,176
44,91,38,44,173
25,16,2,27,16
46,16,54,96,166
22,17,81,34,17
25,74,62,31,74
32,25,17,51,42
48,17,68,97,182
31,100,73,4,173
35,20,32,93,52
58,44,1,51,96
35,99,38,36,137
46,27,64,12,103
51,88,71,15,174
31,69,92,70,161
30,76,19,47,95
45,84,18,75,177
49,38,43,87,168
59,46,80,52,178
57,99,24,14,137
24,54,41,87,54
49,65,5,25,95
32,9,6,78,15
56,1,49,91,141
32,47,36,58,83
59,96,10,48,154
31,36,52,100,88
35,67,37,69,104
51,55,22,13,90
24,92,10,19,92
30,43,90,52,133
41,81,59,71,211
29,13,48,18,13
47,20,39,37,96
25,37,61,19,37
54,68,76,2,146
44,7,71,60,138
21,92,16,20,92
28,92,46,52,92
31,43,98,11,141
31,71,67,23,138
52,52,98,88,238
34,31,97,63,128
59,8,96,83,187
35,5,3,61,8
36,48,8,71,56
32,91,88,29,179
29,15,35,82,15
55,36,44,92,172
40,95,100,39,234
60,99,78,93,270
26,18,53,22,18
30,78,62,35,140
27,17,93,99,17
44,69,73,4,146
24,3,19,9,3
22,75,41,3,75
50,98,52,35,185
28,60,13,46,60
32,100,24,93,124
23,3,83,67,3
32,77,2,37,79
41,18,65,33,116
40,1,92,5,98
25,71,61,95,71
31,41,49,71,90
57,90,65,69,224
24,83,10,99,83
57,86,50,37,173
33,38,53,96,91
50,50,44,54,148
34,36,6,22,42
47,90,51,2,143
38,93,88,50,181
33,3,83,28,86
21,30,35,28,30
59,23,22,53,98
55,95,78,90,263
52,29,58,42,129
41,19,11,85,115
28,28,15,70,28
34,81,12,48,93
28,67,56,63,67
31,58,57,33,115
34,9,55,49,64
51,48,55,64,167
29,43,55,57,43
44,98,87,96,281
52,92,53,68,213
59,42,86,13,141
39,87,25,84,112
46,56,19,17,92
40,90,32,30,152
31,20,50,69,70
47,36,31,3,70
53,4,96,82,182
49,36,56,34,126
37,17,50,18,67
33,4,4,77,8
48,69,50,88,207
45,53,22,33,108
27,56,48,83,56
20,15,69,58,15
26,91,35,17,91
48,85,91,42,218
53,1,58,51,110
32,23,83,53,106
32,37,79,69,116
20,8,82,58,8
58,88,87,43,218
27,21,26,12,21
39,38,37,79,75
43,10,62,64,136
32,99,11,2,110
59,27,86,10,123
30,55,5,96,60
26,3,99,76,3
25,68,40,41,68
26,48,97,66,48
60,42,65,54,161
60,74,1,41,116
42,11,21,51,83
34,81,21,24,102
51,11,40,86,137
53,93,29,28,150
34,61,89,88,150
56,55,56,8,119
56,68,93,90,251
46,2,55,19,76
35,93,7,55,100
23,38,52,37,38
45,20,72,51,143
31,94,60,14,154
33,83,84,21,167
33,68,18,74,86
45,38,49,63,150
56,52,89,37,178
35,56,29,55,85
59,39,37,55,131
24,29,21,78,29
32,38,40,68,78
44,85,89,11,185
23,83,7,45,83
24,54,61,34,54
33,70,36,25,106
53,59,77,84,220
21,70,5,68,70
34,25,14,9,39
26,9,72,32,9
29,76,96,62,76
43,92,58,13,163
23,30,27,100,30
44,48,24,94,166
32,65,7,90,72
23,89,82,16,89
27,68,31,80,68
40,29,16,55,100
40,10,20,37,67
26,66,28,95,66
24,79,53,46,79
51,72,81,23,176
42,65,28,44,137
28,7,67,24,7
26,33,75,32,33
49,94,98,48,240
34,40,85,87,125
21,31,50,99,31
34,62,87,4,149
28,68,10,61,68
50,54,40,22,116
26,81,32,28,81
43,92,49,28,169
24,9,45,86,9
36,20,29,67,49
59,38,62,69,169
39,17,62,84,79
47,92,4,58,154
51,66,30,12,108
33,89,5,28,94
33,38,83,69,121
50,98,35,95,228
21,2,14,96,2
26,79,10,80,79
57,4,56,17,77
58,93,93,53,239
39,68,43,79,111
55,93,26,88,207
57,9,62,31,102
60,90,92,80,262
30,67,32,78,99
58,89,49,45,183
29,1,87,38,1
60,38,77,23,138
57,17,2,41,60
53,12,66,62,140
32,98,70,23,168
48,78,49,22,149
50,89,33,100,222
40,92,65,99,256
40,83,36,59,178
22,75,1,79,75
60,81,96,15,192
52,84,59,8,151
42,19,16,95,130
30,16,63,25,79
36,18,8,71,26
33,58,2,18,60
23,18,8,25,18
40,62,8,24,94
43,4,56,25,85
31,45,42,43,87
36,8,79,39,87
26,72,97,66,72
53,16,35,97,148
44,26,71,23,120
55,50,55,71,176
33,61,47,74,108
35,34,6,38,40
39,47,15,86,62
60,83,9,43,135
48,63,2,92,157
33,84,72,3,156
60,97,94,18,209
42,89,61,43,193
49,49,62,40,151
37,20,62,35,82
29,12,1,11,12
38,52,92,74,144
27,25,98,41,25
23,22,27,7,22
50,30,5,48,83
39,61,51,7,112
36,51,5,28,56
29,27,7,89,27
24,23,74,33,23
42,98,28,9,135
24,70,4,77,70
32,9,10,84,19
34,65,35,55,100
45,55,53,64,172
44,92,69,24,185
31,11,74,4,85
37,92,50,31,142
55,86,77,64,227
29,65,17,22,65
29,31,11,88,31
60,75,58,37,170
43,33,89,14,136
45,40,34,27,101
37,95,66,3,161
49,18,39,40,97
57,10,27,80,117
38,99,8,36,107
39,86,88,85,174
48,88,17,6,111
48,23,52,30,105
22,26,84,66,26
49,70,19,41,130
47,84,21,18,123
30,97,66,57,163
28,27,73,94,27
41,5,68,95,168
36,36,21,75,57
54,50,83,61,194
36,76,51,83,127
47,83,63,57,203
57,96,40,24,160
44,53,14,60,127
29,64,75,96,64
41,27,9,39,75
59,12,80,4,96
41,32,38,92,162
21,88,8,38,88
21,14,91,78,14
29,44,27,24,44
56,18,93,29,140
59,1,58,98,157
39,90,26,17,116
55,80,90,85,255
20,67,16,64,67
39,79,30,34,109
54,13,64,71,148
47,23,15,82,120
22,12,62,94,12
57,59,100,93,252
57,6,93,81,180
42,64,10,49,123
40,92,56,50,198
55,75,81,83,239
22,12,95,13,12
44,39,26,59,124
20,47,2,80,47
52,50,24,2,76
46,79,28,13,120
37,5,95,53,100
47,40,92,31,163
52,11,6,5,22
59,18,85,50,153
51,19,5,25,49
51,44,7,33,84
38,97,28,76,125
22,18,14,3,18
29,98,85,18,98
25,68,76,37,68
24,8,37,11,8
25,26,35,4,26
26,58,84,6,58
27,12,48,89,12
46,5,6,37,48
26,65,30,43,65
52,91,26,85,202
56,90,49,62,201
36,50,60,93,110
37,54,72,7,126
60,8,18,22,48
23,70,57,26,70
42,83,99,64,246
39,38,19,80,57
49,90,16,67,173
26,17,67,100,17
24,14,47,72,14
57,60,67,41,168
36,93,52,33,145
43,21,96,93,210
24,71,27,87,71
27,99,4,20,99
32,10,26,42,36
53,97,23,46,166
58,7,67,21,95
60,20,9,88,117
59,40,53,75,168
59,60,25,2,87
42,87,63,27,177
20,75,45,37,75
56,33,4,34,71
32,52,25,100,77
49,96,14,94,204
49,42,37,83,162
47,32,59,7,98
58,48,41,25,114
28,59,85,13,59
53,77,97,87,261
21,42,55,71,42
31,16,7,88,23
32,25,12,21,37
44,95,84,34,213
39,90,14,87,104
60,16,87,95,198
22,19,32,21,19
20,78,43,99,78
52,72,87,63,222
48,69,91,46,206
60,87,12,56,155
59,9,21,12,42
27,3,25,57,3
45,100,58,57,215
36,1,24,4,25
33,86,18,8,104
22,23,72,86,23
42,83,86,41,210
31,73,34,54,107
36,63,37,74,100
25,22,80,45,22
26,96,48,5,96
33,94,30,81,124
45,68,40,41,149
54,3,37,28,68
54,31,100,69,200
35,75,55,19,130
41,73,37,71,181
49,47,35,82,164
58,1,4,73,78
47,65,75,97,237
35,31,81,85,112
24,25,72,69,25
46,79,52,100,231
39,50,90,29,140
43,85,51,47,183
57,43,44,59,146
22,48,98,14,48
54,24,81,72,177
46,36,87,3,126
47,66,66,86,218
23,70,77,26,70
43,19,49,97,165
29,42,49,66,42
60,15,93,76,184
38,59,1,4,60
54,39,85,64,188
26,46,80,74,46
24,65,9,8,65
36,97,14,20,111
40,79,9,2,90
48,89,71,64,224
37,75,56,100,131
38,21,8,10,29
57,96,40,79,215
45,96,2,1,99
24,91,95,26,91
39,19,33,39,52
47,78,88,36,202
50,46,11,85,142
25,58,41,3,58
45,52,70,77,199
36,76,17,84,93
36,82,40,80,122
24,25,45,46,25
35,92,20,64,112
52,79,37,50,166
48,79,27,5,111
53,25,79,58,162
52,46,10,76,132
33,99,88,51,187
25,23,38,87,23
27,89,70,46,89
40,42,23,2,67
27,21,27,94,21
60,39,76,84,199
26,86,73,13,86
26,61,43,77,61
25,14,65,57,14
57,62,90,49,201
56,37,91,71,199
59,57,17,41,115
60,35,72,93,200
37,5,18,48,23
51,10,41,86,137
29,87,25,18,87
60,37,24,3,64
41,89,40,21,150
35,71,93,86,164
34,88,83,93,171
49,93,67,38,198
42,46,64,57,167
55,76,65,88,229
58,20,41,52,113
54,99,66,85,250
28,69,53,44,69
27,75,25,12,75
36,20,41,27,61
57,2,96,46,144
48,23,85,7,115
43,100,35,54,189
56,45,7,75,127
38,2,33,35,35
33,9,13,22,22
52,16,60,71,147
34,83,80,62,163
57,49,26,61,136
43,18,64,24,106
21,71,38,4,71
36,31,29,29,60
22,7,39,45,7
53,65,44,36,145
56,98,90,92,280
50,2,23,78,103
56,8,18,56,82
22,23,10,31,23
57,53,29,76,158
30,91,77,51,168
27,20,48,36,20
22,63,100,41,63
34,100,96,22,196
58,91,7,72,170
44,61,96,46,203
46,29,26,11,66
42,58,25,84,167
25,47,82,82,47
35,58,20,75,78
36,88,37,89,125
32,82,55,70,137
42,75,59,97,231
24,38,21,67,38
54,23,46,76,145
32,84,24,85,108
55,19,74,32,125
28,42,26,82,42
29,8,43,94,8
57,89,42,6,137
35,80,77,18,157
50,3,87,32,122
20,79,59,76,79
36,68,12,85,80
58,19,12,50,81
38,82,41,73,123
42,1,80,26,107
57,4,36,30,70
60,23,57,40,120
53,84,3,40,127
24,74,80,57,74
22,90,64,44,90
26,45,60,89,45
49,76,15,60,151
58,87,68,72,227
32,42,2,89,44
26,24,38,70,24
26,88,22,42,88
27,69,90,53,69
34,83,18,80,101
24,38,97,98,38
41,28,43,38,109
23,89,43,27,89
58,2,41,3,46
40,64,54,86,204
45,92,35,50,177
46,20,69,68,157
29,2,16,17,2
56,73,40,33,146
54,54,75,72,201
27,36,68,53,36
20,63,26,63,63
41,76,44,64,184
40,23,95,82,200
30,28,10,86,38
56,1,7,40,48
44,27,38,1,66
39,52,8,98,60
39,100,68,47,168
59,49,55,49,153
36,7,27,71,34
29,2,24,100,2
29,69,87,32,69
32,11,1,97,12
44,85,4,73,162
28,19,57,71,19
47,65,41,27,133
50,48,50,37,135
26,14,79,18,14
40,75,32,86,193
48,51,57,43,151
41,9,15,60,84
43,26,25,95,146
39,48,3,37,51
43,92,27,19,138
30,94,28,18,122
40,30,47,75,152
25,10,52,90,10
28,85,18,20,85
22,90,97,62,90
22,72,16,65,72
60,75,90,82,247
35,81,60,88,141
20,6,31,46,6
26,7,48,99,7
38,46,62,12,108
47,74,27,14,115
39,63,25,89,88
22,59,39,95,59
41,77,93,35,205
43,15,36,45,96
37,26,46,23,72
38,8,50,37,58
41,31,39,53,123
57,63,31,84,178
39,53,98,35,151
37,37,3,42,40
40,2,35,62,99
37,95,21,74,116
34,9,20,96,29
54,95,81,27,203
35,42,25,6,67
30,28,38,73,66
28,12,45,66,12
58,8,100,37,145
22,92,34,57,92
56,8,10,80,98
43,35,25,87,147
31,97,100,24,197
22,85,92,38,85
49,59,35,1,95
36,39,54,42,93
56,13,22,34,69
39,57,67,15,124
55,50,30,26,106
58,75,25,91,191
24,86,58,15,86
60,33,11,50,94
28,52,56,83,52
56,72,36,71,179
55,83,8,56,147
46,54,80,17,151
30,9,47,90,56
30,82,29,16,111
48,31,7,8,46
59,48,23,19,90
58,99,49,31,179
25,72,9,55,72
25,57,28,74,57
38,22,29,4,51
24,91,62,72,91
48,96,4,43,143
57,85,74,82,241
45,75,9,18,102
54,8,66,36,110
51,78,65,41,184
32,36,97,29,133
57,25,91,46,162
43,19,7,31,57
24,24,45,87,24
25,73,15,55,73
40,20,93,49,162
53,29,35,73,137
29,22,13,64,22
34,78,63,19,141
23,40,29,6,40
47,35,81,76,192
52,80,68,99,247
41,87,45,69,201
54,25,23,16,64
58,23,72,86,181
26,27,51,61,27
60,60,41,99,200
28,4,37,9,4
36,12,74,35,86
53,83,13,71,167
56,77,58,26,161
43,84,96,19,199
31,65,36,95,101
43,97,53,76,226
21,23,31,20,23
42,61,79,9,149
41,76,2,33,111
29,17,61,69,17
41,65,36,68,169
50,78,27,39,144
52,66,25,22,113
39,59,18,31,77
24,89,5,40,89
30,14,96,48,110
25,84,97,43,84
33,74,74,69,148
41,33,71,80,184
42,89,59,48,196
51,18,88,46,152
45,4,28,63,95
37,28,72,49,100
39,27,51,94,78
40,48,59,87,194
56,37,12,57,106
55,67,86,71,224
34,37,85,4,122
20,26,59,89,26
58,88,32,5,125
33,21,72,67,93
43,61,13,26,100
30,51,84,21,135
30,55,87,32,142
40,9,26,81,116
20,20,91,86,20
27,67,85,28,67
46,3,45,81,129
28,15,2,65,15
43,49,86,12,147
20,68,24,49,68
28,65,20,39,65
39,93,99,35,192
36,27,65,88,92
28,13,44,32,13
41,63,7,39,109
59,70,19,31,120
46,70,5,36,111
30,88,96,39,184
57,22,61,8,91
43,12,6,2,20
35,21,50,31,71
43,36,9,26,71
53,6,1,11,18
43,96,31,9,136
42,47,22,100,169
46,73,88,4,165
49,100,94,7,201
52,91,14,49,154
23,60,51,48,60
60,90,85,80,255
36,78,66,83,144
41,44,98,45,187
32,22,8,26,30
21,96,53,64,96
24,23,37,86,23
57,93,19,81,193
59,80,50,78,208
34,38,22,45,60
30,26,19,46,45
53,39,88,79,206
59,58,39,44,141
36,26,36,38,62
23,62,34,49,62
57,5,52,36,93
21,29,60,12,29
33,49,63,60,112
24,2,23,47,2
46,18,30,60,108
33,2,91,60,93
31,66,4,59,70
30,17,91,31,108
43,98,94,20,212
57,68,83,95,246
54,69,90,81,240
36,53,98,19,151
25,83,1,55,83
22,73,14,50,73
25,6,44,62,6
47,34,91,19,144
36,62,63,46,125
45,4,76,12,92
55,1,98,23,122
37,10,26,26,36
38,86,74,62,160
35,10,1,13,11
36,75,96,93,171
52,48,4,56,108
40,41,12,84,137
34,5,93,83,98
28,6,91,32,6
59,80,22,8,110
55,44,28,84,156
24,56,30,87,56
45,15,54,15,84
39,82,90,23,172
20,68,57,78,68
